,0
287,비트코인이 2천만 다시 회복할줄 누가 알았겠냐
288,압타바이오가 간질환 특허를 냈다는데
289,차트는 보고 참고할게 못됨?
290,근데 넵튠이 5만 갈수도 있음
291,내가 롯칠 사라했지 ㅜㅜ
292,이거보니 주식괜히 한듯
293,인화정공사셈
294,주식으로 날린다 하는건 어디 개잡주에 올인해서 날리는거임?
295,월요일 급락시 대응 방법
296,유진투자증권 hts 쓰는놈있냐? 왜 접속안되냐 ?
297,다음주 개떡상 예정
298,하........시발 저 고2인데
299,ㅍㄷㅁㄴㅈ가 뭐임?
300,단타하면 무조건 손해야??
301,웹 플랫폼 사업 아이디어 평가받는다
302,주식tmi
303,핵펀치 여친도 디씨함?
304,완전 쌩초보 주린이 오늘 들어왔습니다. 질문좀 할게요
305,주린이 질문
306,공부하다보면 결국에 끝은 QQQ로 회귀한다던데 맞냐?
307,그런데 돈벌라면 꼭 주식해야되냐
308,근데 주식하고나서부터 돈에 대한 생각이 달라졌어
309,10분만에 50만원만드는법
310,근데 주식 시작할 때
311,10분만에 만원버는법
312,차트 관련 질문좀요
313,님들아 3단계 되면 삼전같은 근본주도 다 떡락하나요?
314,해외선물 증거금이 뭐임??
315,근데 인도사람이 단순히 인구빨로 똑똑한 IT인재가 나오는 거라면
316,긴급승인있자나 그러면 셀케도 올라가? ㅎ
317,대한민국의 믿음직한 장관들
318,주린이 뭐만들어야되?
319,주린이 한달차 평가좀
320,"왜 인도사람중에서 IT, 금융 인재들이 계속 나오는 거임?"
321,투자자산운용사 << 이거나 따볼까?
322,주식은 입문 순서가 어떻게 되냐
323,1년만에 800에서 8000 불리면 증권사에서 연락오냐?
324,난 삼전 어디까지 오를지 예측하는거 포기함
325,꼭 알아야할 손익 계산
326,월요일 삼전 오를까?
327,셀트리온 오르긴 오를걸?
328,내가 사란 거 그냥 사라니까?
329,셀트리온 승인이면
330,셀트 승인났던데
331,주말이 끝났으면 좋겠다.jpg
332,요즘 주식하는 사람 많구나
333,단타하는법
334,주식 잘하는 애들은 그냥 타고나는건가
335,3700이다가아닐수도있어
336,우성 도끼 교수
337,코로나로 우리가 배운 건... 항상 전염병 대비를 해야 한다는 거
338,우리 귀여운 포모 월요일에 이쁜짓
339,구리 시세 상승으로
340,단타를 복리 작용으로 보는 애들은
341,셀트리온 산다 안산다
342,밑에 3700만원글쓴놈인데 장인어른과의썰
343,3단계되면 별거없고 또 서식 같은 개잡주 가지고놀겠지 ㅋㅋㅋ
344,확진자 늘어났는데
345,두산밥캣 분석
346,주린이 꼭 성공할꺼다!
347,애플 vs 삼전
348,스튜디오드래곤 어때? 요즘 드라마 괜찮던데
349,탑티어 공기업 vs 탑티어사기업
350,코로나 확진자 존나 늘었던데
351,아 개웃기네 ㅋㅋㅋㅋㅋㅋ
352,일신바이오 사라 ㅇㅇ
353,폰헙 관련 종목은 없나요?
354,삼전은 ㄹㅇ 광기네
355,왜 익절 5프로는 못하고
356,주식책에 패턴 분석 보면 존나 웃기더라
357,베트남 펀드해라 . 향후 큰 재미 본다. 
358,월욜 뭐 담을가..
359,주식은 장투인 이유
360,포모6.15기원 기도 바랍니다
361,액면가가 뭐임?
362,영화공짜로보는곳좀알려주셈
363,주식할때 지켜야할게 뭐있음?
364,지금 행복하지 않냐???
365,삼전우 어디까지 갈거같음??
366,셀트 장열리면 폭등할거 같은데
367,주식잔고 평가점
368,본래 손톱으로 카드의 가장자리를 눌러 표시하는 행위를 뜻하는 카지노 용어
369,좀 한심한 질문인데요.
370,님들 3단계 올 것 같은데 월욜날 풀매수 할거임??
371,주린이라 잘 모르는데
372,아프리카 비제이욱이 이사람 별풍받아서 주식해서 10억 만들엇다는데
373,펀치시발새기야 
374,밑에와이프 3700만원현질 얘기한놈인데 .jpg
375,한달전에 이정도 였음 그래도 복구는 된다
376,주식으로 돈 벌어서 매일 돈까스 먹고 싶다
377,걱정하지마라
378,법 잘아는 분 질문
379,와이프진짜빡치는거
380,주린이) 형들 3월에 코스피 폭망 할 때 진짜
381,근데 내년에 철강주가 왜 전망이 좋은거임??
382,지금 주식러는 두려워하고있다.. 고수는 본능적으로 느낄거임
383,조선주 간단정리
384,와이프가 게임현질에 3700만원했는데 어떻게보냐?? .jpg
385,내 계획 ㅁㅌㅊ?
386,신일제약 어때보임?
387,셀트리온이 아산병원 치료승인 받은건 의미가 크지
388,근데 호가창 제대로 볼 줄 모르고 주식하는 사람 많지?
